,,cost,cost,cost,cost,time,time,time,time,bb_time,heuristic_time,nodes_explored,nodes_explored,nodes_explored,optimal,optimal,heuristic_calls,heuristic_improvements,heuristic_efficiency
,,mean,min,std,count,mean,min,max,std,mean,mean,mean,min,max,sum,count,mean,mean,mean
filename,combination,,,,,,,,,,,,,,,,,,
scp48.txt,best_first_none,inf,inf,,1,120.046,120.046,120.046,,120.046,0.0,2517.0,2517,2517,0,1,0.0,0.0,0.0
scp48.txt,breadth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp48.txt,breadth_first_basic,533.0,533.0,,1,120.0248,120.0248,120.0248,,119.7308,0.294,2796.0,2796,2796,0,1,15.0,0.0,0.0
scp48.txt,breadth_first_intermediate,508.0,508.0,,1,120.0244,120.0244,120.0244,,90.4614,29.5629,2108.0,2108,2108,0,1,14.0,2.0,0.1429
scp48.txt,breadth_first_none,inf,inf,,1,120.035,120.035,120.035,,120.035,0.0,2690.0,2690,2690,0,1,0.0,0.0,0.0
scp48.txt,depth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp48.txt,depth_first_basic,533.0,533.0,,1,120.0175,120.0175,120.0175,,119.7735,0.244,2729.0,2729,2729,0,1,14.0,0.0,0.0
scp48.txt,depth_first_intermediate,508.0,508.0,,1,120.0062,120.0062,120.0062,,94.5114,25.4947,2265.0,2265,2265,0,1,15.0,2.0,0.1333
scp48.txt,depth_first_none,inf,inf,,1,120.009,120.009,120.009,,120.009,0.0,3275.0,3275,3275,0,1,0.0,0.0,0.0
scp48.txt,hybrid_df_bf_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
